,X1,X2,X3,X4,X5
2017-01-04 05:00:00,-200.0,-1428.3305915966973,-96.07306468238919,-5396.9935768108935,-3995.911342197468
2017-01-04 06:00:00,-209.4976410178381,-1909.1508830813377,-269.3565283140079,-6309.873220778236,-4598.010848735809
2017-01-04 07:00:00,-686.0924218275848,-2496.9444670529847,-542.9815685394916,-7673.530891716073,-5313.073129173767
2017-01-04 08:00:00,-1496.4846474473727,-3449.433549316836,-815.1031635845025,-8659.246461135968,-6275.616535600739
2017-01-04 09:00:00,-2136.4851481847377,-3854.596342511806,-1008.8102251129468,-8973.923723807491,-6461.17666507309
2017-01-04 10:00:00,-2570.285269309573,-4080.9850815072245,-1146.336287381425,-9323.494677956205,-6581.569133411187
2017-01-04 11:00:00,-2908.036405697673,-4298.173061454016,-1249.5340562019474,-9510.818352586193,-6691.290311016861
2017-01-04 12:00:00,-3156.959691708641,-4506.658996718799,-1312.2264711682624,-9356.487669357932,-6719.828944358522
2017-01-04 13:00:00,-3522.7463160430507,-4733.306010363403,-1442.9600818764466,-9974.379517410936,-6982.700318715221
2017-01-04 14:00:00,-3200.2531643656725,-4605.673542377646,-1327.6997324195413,-9429.619604888274,-6834.6687089779625
2017-01-04 15:00:00,-3061.6486120849486,-4496.513724043878,-1270.225040375186,-9021.844730468914,-6643.637162120007
2017-01-04 16:00:00,-3102.801877068753,-4419.834364989234,-1288.2176038722691,-9163.213317022895,-6581.360983259651
2017-01-04 17:00:00,-3375.3126889447267,-4750.398412152705,-1388.8982851342892,-9695.3942862613,-6991.416789581001
2017-01-04 18:00:00,-3573.506414235435,-5405.287872003753,-1463.0177407520314,-10102.037800280707,-7777.634035671743
2017-01-04 19:00:00,-3885.527675176223,-5428.735442168449,-1577.819615418382,-10700.960369036246,-7831.4877941564955
2017-01-04 20:00:00,-3848.3299239021853,-4971.5661341058585,-1567.8092105819992,-10709.977330321068,-7327.909017850639
2017-01-04 21:00:00,-3501.685107704985,-5332.375237369,-1447.2011801652125,-10196.272010090315,-7773.043863319985
2017-01-04 22:00:00,-2959.10024745103,-4277.8218678117255,-1256.563389943868,-9351.5820450544,-6576.602795388548
2017-01-04 23:00:00,-2052.58479286033,-3575.2513038551265,-935.8553416003374,-7892.135463625123,-5788.400964190502
2017-01-05 00:00:00,-1846.5480997392879,-3317.164219272574,-865.5012198881011,-7615.947338499267,-5515.723168465169
2017-01-05 01:00:00,-1266.6511122454335,-2846.1698692602613,-661.5279253241607,-6708.229209716244,-4996.1097322737805
2017-01-05 02:00:00,-785.404254149254,-2311.165797034966,-492.812583771632,-5967.152250153398,-4402.256078310535
2017-01-05 03:00:00,-743.7676308559103,-2196.312291792371,-481.2157082226791,-5968.671007149651,-4295.704485836941
2017-01-05 04:00:00,-513.1971177515267,-1938.2451280302394,-402.09310057490086,-5651.0400124358475,-4023.0497948212515
2017-01-05 05:00:00,-413.96019853573443,-1812.3058792508582,-369.9096475984534,-5555.259549263285,-3903.6406553082315
2017-01-05 06:00:00,-804.158176937679,-2332.113151661276,-512.6521955073243,-6286.239315338965,-4533.1859043026025
2017-01-05 07:00:00,-1321.4675487751124,-2908.997643507212,-708.7617342644915,-7405.579552227064,-5293.355884586119
2017-01-05 08:00:00,-2112.2813081396507,-3613.626539280832,-982.6438295958312,-8549.828023256006,-6039.513977524421
2017-01-05 09:00:00,-2733.15044287791,-4262.451790318151,-1187.029109709692,-9215.398554331237,-6649.859808641138
2017-01-05 10:00:00,-2780.0152591824162,-4398.513293583068,-1221.294629282963,-9677.773490830989,-6949.846994933277
2017-01-05 11:00:00,-2307.745731353456,-3960.222810820128,-1078.777369206199,-9454.824599214979,-6654.774793543
2017-01-05 12:00:00,-2314.868878781692,-4467.5238682649215,-1072.565287876577,-9275.251999989548,-7172.066689542684
2017-01-05 13:00:00,-2783.8977801205247,-4363.315750220967,-1240.5851941337269,-10076.01087133716,-7054.345363462256
2017-01-05 14:00:00,-2787.5644904485234,-4025.6892137989626,-1243.4440532064818,-10116.079667504062,-6675.325258924118
2017-01-05 15:00:00,-2293.674062260202,-4089.830020309469,-1068.4739898296175,-9315.668032246675,-6762.285852344421
2017-01-05 16:00:00,-2240.0777347240937,-4164.648107339158,-1050.8668088613626,-9259.007309242766,-6861.630246280494
2017-01-05 17:00:00,-2641.9056912333667,-4142.341902044719,-1196.0300986990856,-9971.655614498315,-6848.32724285574
