,X1,X2,X3,X4,X5,X8,X9,X10,X11,X12
2017-01-02 17:00:00,-0.07753679999999999,-0.07753679999999999,-0.07753679999999999,-0.07753679999999999,-0.07753679999999999,-0.07753679999999999,-0.07753679999999999,-0.07753679999999999,-0.07753679999999999,-0.07753679999999999
2017-01-02 17:30:00,-0.07590329999999999,-0.07590329999999999,-0.07590329999999999,-0.07590329999999999,-0.07590329999999999,-0.07590329999999999,-0.07590329999999999,-0.07590329999999999,-0.07590329999999999,-0.07590329999999999
2017-01-02 18:00:00,-0.07426979999999998,-0.07426979999999998,-0.07426979999999998,-0.07426979999999998,-0.07426979999999998,-0.07426979999999998,-0.07426979999999998,-0.07426979999999998,-0.07426979999999998,-0.07426979999999998
2017-01-02 18:30:00,-0.0727848,-0.0727848,-0.0727848,-0.0727848,-0.0727848,-0.0727848,-0.0727848,-0.0727848,-0.0727848,-0.0727848
2017-01-02 19:00:00,-0.0712998,-0.0712998,-0.0712998,-0.0712998,-0.0712998,-0.0712998,-0.0712998,-0.0712998,-0.0712998,-0.0712998
2017-01-02 19:30:00,-0.07081965,-0.07081965,-0.07081965,-0.07081965,-0.07081965,-0.07081965,-0.07081965,-0.07081965,-0.07081965,-0.07081965
2017-01-02 20:00:00,-0.0703395,-0.0703395,-0.0703395,-0.0703395,-0.0703395,-0.0703395,-0.0703395,-0.0703395,-0.0703395,-0.0703395
2017-01-02 20:30:00,-0.06643394999999999,-0.06643394999999999,-0.06643394999999999,-0.06643394999999999,-0.06643394999999999,-0.06643394999999999,-0.06643394999999999,-0.06643394999999999,-0.06643394999999999,-0.06643394999999999
2017-01-02 21:00:00,-0.0625284,-0.0625284,-0.0625284,-0.0625284,-0.0625284,-0.0625284,-0.0625284,-0.0625284,-0.0625284,-0.0625284
2017-01-02 21:30:00,-0.0609939,-0.0609939,-0.0609939,-0.0609939,-0.0609939,-0.0609939,-0.0609939,-0.0609939,-0.0609939,-0.0609939
2017-01-02 22:00:00,-0.0594594,-0.0594594,-0.0594594,-0.0594594,-0.0594594,-0.0594594,-0.0594594,-0.0594594,-0.0594594,-0.0594594
2017-01-02 22:30:00,-0.056628,-0.056628,-0.056628,-0.056628,-0.056628,-0.056628,-0.056628,-0.056628,-0.056628,-0.056628
2017-01-02 23:00:00,-0.05379660000000001,-0.05379660000000001,-0.05379660000000001,-0.05379660000000001,-0.05379660000000001,-0.05379660000000001,-0.05379660000000001,-0.05379660000000001,-0.05379660000000001,-0.05379660000000001
2017-01-02 23:30:00,-0.043827300000000007,-0.043827300000000007,-0.043827300000000007,-0.043827300000000007,-0.043827300000000007,-0.043827300000000007,-0.043827300000000007,-0.043827300000000007,-0.043827300000000007,-0.043827300000000007
2017-01-03 00:00:00,-0.033858,-0.033858,-0.033858,-0.033858,-0.033858,-0.033858,-0.033858,-0.033858,-0.033858,-0.033858
2017-01-03 00:30:00,-0.03433815,-0.03433815,-0.03433815,-0.03433815,-0.03433815,-0.03433815,-0.03433815,-0.03433815,-0.03433815,-0.03433815
2017-01-03 01:00:00,-0.034818299999999996,-0.034818299999999996,-0.034818299999999996,-0.034818299999999996,-0.034818299999999996,-0.034818299999999996,-0.034818299999999996,-0.034818299999999996,-0.034818299999999996,-0.034818299999999996
2017-01-03 01:30:00,-0.0325908,-0.0325908,-0.0325908,-0.0325908,-0.0325908,-0.0325908,-0.0325908,-0.0325908,-0.0325908,-0.0325908
2017-01-03 02:00:00,-0.030363300000000003,-0.030363300000000003,-0.030363300000000003,-0.030363300000000003,-0.030363300000000003,-0.030363300000000003,-0.030363300000000003,-0.030363300000000003,-0.030363300000000003,-0.030363300000000003
2017-01-03 02:30:00,-0.03026925,-0.03026925,-0.03026925,-0.03026925,-0.03026925,-0.03026925,-0.03026925,-0.03026925,-0.03026925,-0.03026925
2017-01-03 03:00:00,-0.0301752,-0.0301752,-0.0301752,-0.0301752,-0.0301752,-0.0301752,-0.0301752,-0.0301752,-0.0301752,-0.0301752
2017-01-03 03:30:00,-0.0303633,-0.0303633,-0.0303633,-0.0303633,-0.0303633,-0.0303633,-0.0303633,-0.0303633,-0.0303633,-0.0303633
2017-01-03 04:00:00,-0.0305514,-0.0305514,-0.0305514,-0.0305514,-0.0305514,-0.0305514,-0.0305514,-0.0305514,-0.0305514,-0.0305514
2017-01-03 04:30:00,-0.036100349999999996,-0.036100349999999996,-0.036100349999999996,-0.036100349999999996,-0.036100349999999996,-0.036100349999999996,-0.036100349999999996,-0.036100349999999996,-0.036100349999999996,-0.036100349999999996
2017-01-03 05:00:00,-0.0416493,-0.0416493,-0.0416493,-0.0416493,-0.0416493,-0.0416493,-0.0416493,-0.0416493,-0.0416493,-0.0416493
2017-01-03 05:30:00,-0.049049550000000004,-0.049049550000000004,-0.049049550000000004,-0.049049550000000004,-0.049049550000000004,-0.049049550000000004,-0.049049550000000004,-0.049049550000000004,-0.049049550000000004,-0.049049550000000004
2017-01-03 06:00:00,-0.0564498,-0.0564498,-0.0564498,-0.0564498,-0.0564498,-0.0564498,-0.0564498,-0.0564498,-0.0564498,-0.0564498
2017-01-03 06:30:00,-0.06196905000000001,-0.06196905000000001,-0.06196905000000001,-0.06196905000000001,-0.06196905000000001,-0.06196905000000001,-0.06196905000000001,-0.06196905000000001,-0.06196905000000001,-0.06196905000000001
2017-01-03 07:00:00,-0.0674883,-0.0674883,-0.0674883,-0.0674883,-0.0674883,-0.0674883,-0.0674883,-0.0674883,-0.0674883,-0.0674883
2017-01-03 07:30:00,-0.06894855000000001,-0.06894855000000001,-0.06894855000000001,-0.06894855000000001,-0.06894855000000001,-0.06894855000000001,-0.06894855000000001,-0.06894855000000001,-0.06894855000000001,-0.06894855000000001
2017-01-03 08:00:00,-0.07040880000000001,-0.07040880000000001,-0.07040880000000001,-0.07040880000000001,-0.07040880000000001,-0.07040880000000001,-0.07040880000000001,-0.07040880000000001,-0.07040880000000001,-0.07040880000000001
2017-01-03 08:30:00,-0.06884955,-0.06884955,-0.06884955,-0.06884955,-0.06884955,-0.06884955,-0.06884955,-0.06884955,-0.06884955,-0.06884955
2017-01-03 09:00:00,-0.0672903,-0.0672903,-0.0672903,-0.0672903,-0.0672903,-0.0672903,-0.0672903,-0.0672903,-0.0672903,-0.0672903
2017-01-03 09:30:00,-0.0689139,-0.0689139,-0.0689139,-0.0689139,-0.0689139,-0.0689139,-0.0689139,-0.0689139,-0.0689139,-0.0689139
2017-01-03 10:00:00,-0.07053749999999999,-0.07053749999999999,-0.07053749999999999,-0.07053749999999999,-0.07053749999999999,-0.07053749999999999,-0.07053749999999999,-0.07053749999999999,-0.07053749999999999,-0.07053749999999999
2017-01-03 10:30:00,-0.0704484,-0.0704484,-0.0704484,-0.0704484,-0.0704484,-0.0704484,-0.0704484,-0.0704484,-0.0704484,-0.0704484
2017-01-03 11:00:00,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593,-0.0703593
2017-01-03 11:30:00,-0.07016129999999998,-0.07016129999999998,-0.07016129999999998,-0.07016129999999998,-0.07016129999999998,-0.07016129999999998,-0.07016129999999998,-0.07016129999999998,-0.07016129999999998,-0.07016129999999998
2017-01-03 12:00:00,-0.06996329999999999,-0.06996329999999999,-0.06996329999999999,-0.06996329999999999,-0.06996329999999999,-0.06996329999999999,-0.06996329999999999,-0.06996329999999999,-0.06996329999999999,-0.06996329999999999
2017-01-03 12:30:00,-0.07003755,-0.07003755,-0.07003755,-0.07003755,-0.07003755,-0.07003755,-0.07003755,-0.07003755,-0.07003755,-0.07003755
2017-01-03 13:00:00,-0.07011179999999999,-0.07011179999999999,-0.07011179999999999,-0.07011179999999999,-0.07011179999999999,-0.07011179999999999,-0.07011179999999999,-0.07011179999999999,-0.07011179999999999,-0.07011179999999999
2017-01-03 13:30:00,-0.07144335,-0.07144335,-0.07144335,-0.07144335,-0.07144335,-0.07144335,-0.07144335,-0.07144335,-0.07144335,-0.07144335
2017-01-03 14:00:00,-0.0727749,-0.0727749,-0.0727749,-0.0727749,-0.0727749,-0.0727749,-0.0727749,-0.0727749,-0.0727749,-0.0727749
2017-01-03 14:30:00,-0.07207695000000001,-0.07207695000000001,-0.07207695000000001,-0.07207695000000001,-0.07207695000000001,-0.07207695000000001,-0.07207695000000001,-0.07207695000000001,-0.07207695000000001,-0.07207695000000001
2017-01-03 15:00:00,-0.071379,-0.071379,-0.071379,-0.071379,-0.071379,-0.071379,-0.071379,-0.071379,-0.071379,-0.071379
2017-01-03 15:30:00,-0.07291349999999999,-0.07291349999999999,-0.07291349999999999,-0.07291349999999999,-0.07291349999999999,-0.07291349999999999,-0.07291349999999999,-0.07291349999999999,-0.07291349999999999,-0.07291349999999999
2017-01-03 16:00:00,-0.074448,-0.074448,-0.074448,-0.074448,-0.074448,-0.074448,-0.074448,-0.074448,-0.074448,-0.074448
2017-01-03 16:30:00,-0.07655175,-0.07655175,-0.07655175,-0.07655175,-0.07655175,-0.07655175,-0.07655175,-0.07655175,-0.07655175,-0.07655175
2017-01-03 17:00:00,-0.0786555,-0.0786555,-0.0786555,-0.0786555,-0.0786555,-0.0786555,-0.0786555,-0.0786555,-0.0786555,-0.0786555
2017-01-03 17:30:00,-0.08101665000000001,-0.08101665000000001,-0.08101665000000001,-0.08101665000000001,-0.08101665000000001,-0.08101665000000001,-0.08101665000000001,-0.08101665000000001,-0.08101665000000001,-0.08101665000000001
2017-01-03 18:00:00,-0.0833778,-0.0833778,-0.0833778,-0.0833778,-0.0833778,-0.0833778,-0.0833778,-0.0833778,-0.0833778,-0.0833778
2017-01-03 18:30:00,-0.07969005,-0.07969005,-0.07969005,-0.07969005,-0.07969005,-0.07969005,-0.07969005,-0.07969005,-0.07969005,-0.07969005
2017-01-03 19:00:00,-0.0760023,-0.0760023,-0.0760023,-0.0760023,-0.0760023,-0.0760023,-0.0760023,-0.0760023,-0.0760023,-0.0760023
2017-01-03 19:30:00,-0.0750618,-0.0750618,-0.0750618,-0.0750618,-0.0750618,-0.0750618,-0.0750618,-0.0750618,-0.0750618,-0.0750618
2017-01-03 20:00:00,-0.0741213,-0.0741213,-0.0741213,-0.0741213,-0.0741213,-0.0741213,-0.0741213,-0.0741213,-0.0741213,-0.0741213
2017-01-03 20:30:00,-0.07216605,-0.07216605,-0.07216605,-0.07216605,-0.07216605,-0.07216605,-0.07216605,-0.07216605,-0.07216605,-0.07216605
2017-01-03 21:00:00,-0.07021079999999999,-0.07021079999999999,-0.07021079999999999,-0.07021079999999999,-0.07021079999999999,-0.07021079999999999,-0.07021079999999999,-0.07021079999999999,-0.07021079999999999,-0.07021079999999999
2017-01-03 21:30:00,-0.06809715,-0.06809715,-0.06809715,-0.06809715,-0.06809715,-0.06809715,-0.06809715,-0.06809715,-0.06809715,-0.06809715
2017-01-03 22:00:00,-0.0659835,-0.0659835,-0.0659835,-0.0659835,-0.0659835,-0.0659835,-0.0659835,-0.0659835,-0.0659835,-0.0659835
2017-01-03 22:30:00,-0.0615384,-0.0615384,-0.0615384,-0.0615384,-0.0615384,-0.0615384,-0.0615384,-0.0615384,-0.0615384,-0.0615384
2017-01-03 23:00:00,-0.0570933,-0.0570933,-0.0570933,-0.0570933,-0.0570933,-0.0570933,-0.0570933,-0.0570933,-0.0570933,-0.0570933
2017-01-03 23:30:00,-0.058147649999999995,-0.058147649999999995,-0.058147649999999995,-0.058147649999999995,-0.058147649999999995,-0.058147649999999995,-0.058147649999999995,-0.058147649999999995,-0.058147649999999995,-0.058147649999999995
2017-01-04 00:00:00,-0.059202,-0.059202,-0.059202,-0.059202,-0.059202,-0.059202,-0.059202,-0.059202,-0.059202,-0.059202
2017-01-04 00:30:00,-0.051059249999999994,-0.051059249999999994,-0.051059249999999994,-0.051059249999999994,-0.051059249999999994,-0.051059249999999994,-0.051059249999999994,-0.051059249999999994,-0.051059249999999994,-0.051059249999999994
