Datetime,X1,X2,X3,X4,X5
2017-04-14 05:30:00,-120.03534811167337,-122.27426586608027,-119.71927815537366,-139.70639313848537,-188.64874362350272
2017-04-14 06:00:00,-274.723586322953,-298.4749512964417,-166.87178425151484,-311.79256035528266,-332.1986630607532
2017-04-14 06:30:00,-397.7538641529384,-397.34694412448636,-222.83355775583448,-697.655305271433,-645.194986261936
2017-04-14 07:00:00,-489.391371377025,-496.27357562118135,-252.28827945724402,-1146.9937384721343,-848.9443798003307
2017-04-14 07:30:00,-547.6359691241723,-570.0470386751997,-284.62294257111853,-1540.816361572981,-1324.3612181706087
2017-04-14 08:00:00,-649.367547403203,-709.3933703264901,-296.47522215645364,-2140.159370919907,-1397.7468172338947
2017-04-14 08:30:00,-767.5692267882818,-812.0438843088369,-317.9113174255861,-2072.7064726929325,-1665.1923366393864
2017-04-14 09:00:00,-905.3092652467503,-913.3857767270019,-350.926845486184,-1999.0002234407896,-1824.8056454931527
2017-04-14 09:30:00,-918.7805342471003,-936.3519977131613,-340.5491509246057,-2112.621148552505,-2016.5960495098018
2017-04-14 10:00:00,-1023.7175344190217,-1007.09953640897,-344.858018964755,-2139.840041733638,-1959.8244326947286
2017-04-14 10:30:00,-1000.785999257565,-1011.570800690822,-353.5104437162933,-2326.5183208560156,-1844.4762587379767
2017-04-14 11:00:00,-909.7539193600977,-910.0187352255276,-329.2012648917041,-2203.510983690127,-1933.0252405221888
2017-04-14 11:30:00,-934.727314234569,-915.7278741784299,-319.3625280986747,-2266.946198117925,-1839.1218734424801
2017-04-14 12:00:00,-915.701692180502,-939.380850997893,-310.135491200112,-2138.6222714582673,-1844.5698274211725
2017-04-14 12:30:00,-829.9851056258698,-900.3443302026476,-308.6474669269663,-2131.7744605546827,-1718.9572266959165
2017-04-14 13:00:00,-814.9485201316628,-900.4010066154483,-316.3748849220641,-2076.9245657814313,-1690.7256129318228
2017-04-14 13:30:00,-817.628926284479,-867.9273344222428,-304.170473506605,-1935.1818005834496,-1642.3147165202636
2017-04-14 14:00:00,-829.6013861418713,-896.9323178898461,-309.8437050659933,-1860.8387203161792,-1679.2372278052553
2017-04-14 14:30:00,-828.2617434208747,-901.0174062577817,-343.917818304381,-1988.9308316634833,-1717.9440658117483
2017-04-14 15:00:00,-855.4797788199986,-938.4657516534157,-338.907851191955,-2065.4353303120924,-1960.6196701311299
2017-04-14 15:30:00,-857.893702556959,-912.4095203523079,-320.64998121828444,-2078.3227546807816,-1897.509593603447
2017-04-14 16:00:00,-845.8587849773136,-898.758096176109,-333.8483907835133,-2040.6615724540852,-1945.3993544738405
