Datetime,X1,X2,X3,X4,X5
2017-06-17 20:00:00,-2516.7969098126864,-2617.555862454945,-698.3924614192749,-4490.25187163566,-3879.375750687607
2017-06-17 21:00:00,-1888.79873694031,-1949.442613330124,-494.3646055630719,-3844.7348716591914,-2824.4094120071786
2017-06-17 22:00:00,-1320.6092165889595,-1384.3096787626573,-349.4266038235497,-3362.1697448853292,-2156.596954819778
2017-06-17 23:00:00,-916.3837558578255,-968.185549469582,-192.79250841545783,-2201.0481589110323,-1549.4421463389815
2017-06-18 00:00:00,-432.68606452862457,-454.8129083840837,-92.40339245680718,-822.7482778648188,-482.89893549246176
2017-06-18 01:00:00,-202.33576587102428,-213.18846231910805,-82.08418692294467,-186.50861837136438,-228.31467539958845
2017-06-18 02:00:00,-139.55768232391148,-143.52316612774058,-85.84254254777314,-91.69739480063835,-220.6956780053298
2017-06-18 03:00:00,-177.75008253362674,-181.5590758581061,-121.15457316230086,-134.3924659074922,-558.2803731261423
2017-06-18 04:00:00,-298.09172246206697,-304.9201164478568,-234.1845760305556,-186.44660052552547,-1270.0166731773952
2017-06-18 05:00:00,-628.9877550167828,-659.3341780698827,-496.2980843450337,-1271.0607577708472,-1987.833473303352
2017-06-18 06:00:00,-1100.915770164997,-1162.127030913313,-728.7396399295284,-2540.7983828164743,-3031.9112625728726
2017-06-18 07:00:00,-1823.1618793183734,-1870.4362331678594,-980.0706106759785,-4293.667001165482,-4696.9678491535315
2017-06-18 08:00:00,-2679.157064801142,-2886.6716112717013,-1258.0528058104323,-6113.2076878641,-6313.9275710689635
2017-06-18 09:00:00,-4025.107458352879,-4134.8697251966205,-1351.4468044411037,-6052.101743266747,-9560.806128574532
2017-06-18 10:00:00,-4347.4455776381255,-4310.4211116048045,-1411.2206481977246,-9421.001423959715,-9712.106332066454
2017-06-18 11:00:00,-3757.9303292425056,-3883.191537406913,-1316.3990709175096,-9201.293706157801,-8121.2087027935795
2017-06-18 12:00:00,-3530.249858547213,-3572.89668028802,-1116.4383137193222,-7646.348472498051,-6582.107166791754
2017-06-18 13:00:00,-3135.5678927315585,-3159.180844717228,-1111.6554866069546,-6943.772640560528,-5667.39837563913
2017-06-18 14:00:00,-3060.6577243984216,-3179.8162874551463,-1146.7594598787787,-6767.409155833611,-5794.189024087647
2017-06-18 15:00:00,-3012.3110761724183,-3139.2466102448525,-1104.9829770719389,-6986.095583817747,-6032.607774409519
2017-06-18 16:00:00,-3041.049604744324,-3052.5715630648497,-1092.4780237830964,-6653.524655915609,-6100.881528351255
2017-06-18 17:00:00,-3171.0731021220213,-3452.5284277791757,-1073.6312860408893,-6376.801712416245,-5796.70673775447
2017-06-18 18:00:00,-3399.4811833739077,-3615.5254392216757,-951.0356939829264,-6445.669662501631,-5286.662858308777
2017-06-18 19:00:00,-3096.2966332698606,-3196.6425121688226,-853.368422258146,-6743.031124258997,-4874.600587989678
2017-06-18 20:00:00,-2516.32321494199,-2623.2976522995555,-694.076621124643,-4476.005264380506,-4103.1004773175955
2017-06-18 21:00:00,-1788.1742727438377,-2021.4749864700482,-512.0487401936174,-3893.4238127362387,-2754.0552600500696
2017-06-18 22:00:00,-1304.0151958699025,-1348.903115159452,-332.2881751767666,-3324.6196903620184,-2137.753661691373
2017-06-18 23:00:00,-912.3129911594949,-920.6929219966553,-200.7979892300188,-2190.7259644510023,-1584.4390904247648
2017-06-19 00:00:00,-421.00568665199927,-457.99338372638465,-96.00942044713744,-830.8359816525183,-478.6953924260269
2017-06-19 01:00:00,-212.35539634725365,-222.5650366297291,-84.62635662732326,-177.720756959551,-217.37530222662255
2017-06-19 02:00:00,-140.2623517499302,-140.7886948841586,-86.91033575856281,-92.17453353940576,-215.97676732553305
2017-06-19 03:00:00,-179.8018578531,-182.67657598566666,-120.26199737074779,-136.44709621247424,-544.2385740631992
2017-06-19 04:00:00,-285.02710454488044,-306.4611576936147,-227.16554387900655,-186.5956136082425,-1255.7717754598707
