,X1,X2,X3,X4,X5
2017-01-04 08:00:00,-760.6037152300082,-1714.2676323514609,-411.969592833359,-4350.504264849231,-3125.689068191652
2017-01-04 08:30:00,-735.8809322173645,-1735.1659169653751,-403.1335707511434,-4308.742196286738,-3149.9274674090866
2017-01-04 09:00:00,-943.7709960552987,-1812.3225047080136,-468.67639281840513,-4468.3078617095,-3168.3261015727944
2017-01-04 09:30:00,-1192.714152129439,-2042.2738378037923,-540.1338322945417,-4505.615862097991,-3292.850563500295
2017-01-04 10:00:00,-1305.884689763316,-2085.478345433957,-580.5814376097574,-4696.785106656862,-3342.9603272095787
2017-01-04 10:30:00,-1264.4005795462572,-1995.5067360732673,-565.7548497716678,-4626.709571299344,-3238.6088062016083
2017-01-04 11:00:00,-1445.9109313204915,-2220.048997128778,-621.8694566498011,-4741.714260585253,-3427.949355201196
2017-01-04 11:30:00,-1462.125474377182,-2078.124064325238,-627.6645995521463,-4769.104092000941,-3263.340955815665
2017-01-04 12:00:00,-1522.681630619971,-2233.6204852631,-640.549690477085,-4679.79127366152,-3372.60026044554
2017-01-04 12:30:00,-1634.2780610886698,-2273.0385114556993,-671.6767806911772,-4676.696395696411,-3347.228683912982
2017-01-04 13:00:00,-1767.8963329180435,-2376.6987177983774,-728.1904113167068,-5094.011355788428,-3538.546288245634
2017-01-04 13:30:00,-1754.849983125007,-2356.6072925650255,-714.7696705597399,-4880.3681616225085,-3444.1540304695873
2017-01-04 14:00:00,-1570.973352198691,-2369.371815770516,-657.8093459956218,-4761.366320715884,-3530.048347880707
2017-01-04 14:30:00,-1629.2798121669816,-2236.3017266071306,-669.8903864239194,-4668.25328417239,-3304.6203610972557
2017-01-04 15:00:00,-1573.5294060263811,-2157.5963892768527,-649.9649670446006,-4574.078923525379,-3213.3357689884883
2017-01-04 15:30:00,-1488.1192060585674,-2338.9173347670257,-620.2600733305852,-4447.765806943536,-3430.3013931315186
2017-01-04 16:00:00,-1579.952979320734,-2125.251160965784,-653.9028885132121,-4620.855672563723,-3189.150207210856
2017-01-04 16:30:00,-1522.8488977480195,-2294.5832040234495,-634.3147153590569,-4542.357644459173,-3392.210776048795
2017-01-04 17:00:00,-1712.2430429268434,-2356.0306719875903,-702.8259998464504,-4880.247845821589,-3470.143878741547
2017-01-04 17:30:00,-1663.0696460178835,-2394.367740165115,-686.0722852878388,-4815.146440439712,-3521.2729108394537
2017-01-04 18:00:00,-1770.1210784756502,-2667.5125807236063,-725.1539530714518,-5013.942187406762,-3844.738387361938
2017-01-04 18:30:00,-1803.385335759785,-2737.7752912801475,-737.8637876805795,-5088.095612873944,-3932.895648309805
2017-01-04 19:00:00,-1987.658248870225,-2763.0366711697425,-804.54472322945,-5417.334957872186,-3968.859141291905
2017-01-04 19:30:00,-1897.8694263059979,-2665.698770998706,-773.2748921889319,-5283.625411164059,-3862.6286528645905
2017-01-04 20:00:00,-1826.9725755642226,-2491.697325726508,-748.757127860094,-5181.828445742852,-3667.4816985208095
2017-01-04 20:30:00,-2021.357348337963,-2479.868808379351,-819.0520827219053,-5528.148884578216,-3660.42731932983
2017-01-04 21:00:00,-1861.5470555390568,-2748.4164040648866,-762.7562965975086,-5276.15809747365,-3978.5607861400517
2017-01-04 21:30:00,-1640.1380521659282,-2583.958833304114,-684.4448835677038,-4920.113912616665,-3794.4830771799334
2017-01-04 22:00:00,-1716.5602725583394,-2186.175191741329,-712.5795477703738,-5067.1703690016675,-3339.7874416092745
2017-01-04 22:30:00,-1242.5399748926907,-2091.6466760703966,-543.9838421734942,-4284.411676052732,-3236.8153537792728
2017-01-04 23:00:00,-1061.366140929449,-1903.990364449033,-480.05264051413326,-3996.3332983890487,-3025.8311138426147
2017-01-04 23:30:00,-991.2186519308808,-1671.2609394060935,-455.80270108620414,-3895.802165236074,-2762.5698503478875
2017-01-05 00:00:00,-1018.0769193608479,-1790.443331818579,-466.2230091569554,-3959.1345036369694,-2907.465489603839
2017-01-05 00:30:00,-828.47118037844,-1526.720887453995,-399.27821073114575,-3656.812834862298,-2608.2576788613296
2017-01-05 01:00:00,-721.025600940848,-1459.649063935439,-361.69778376970805,-3493.2772491212836,-2537.1306097912106
2017-01-05 01:30:00,-545.6255113045856,-1386.5208053248223,-299.83014155445267,-3214.9519605949613,-2458.9791224825703
2017-01-05 02:00:00,-451.5759146986442,-1228.15986744759,-267.03749273485425,-3074.0450551765016,-2281.972454253469
2017-01-05 02:30:00,-333.82833945060986,-1083.0059295873762,-225.77509103677772,-2893.1071949768966,-2120.283624057066
2017-01-05 03:00:00,-419.21166088906415,-1124.2966352824942,-257.1124887942927,-3055.300867754103,-2174.8383653276446
2017-01-05 03:30:00,-324.5559699668461,-1072.0156565098766,-224.1032194283864,-2913.3701393955484,-2120.8661205092963
2017-01-05 04:00:00,-269.18510245533156,-1015.9226101801227,-205.13450395058413,-2837.7998805643974,-2062.472535997249
2017-01-05 04:30:00,-244.0120152961951,-922.3225178501166,-196.95859662431675,-2813.24013187145,-1960.5772588240022
2017-01-05 05:00:00,-103.5638599688451,-874.1906818254084,-147.58291630556985,-2593.956136400753,-1911.4173026787143
2017-01-05 05:30:00,-310.3963385668893,-938.1151974254498,-222.3267312928835,-2961.3034128625322,-1992.2233526295172
2017-01-05 06:00:00,-357.87171802457385,-1134.944828143854,-240.1156781230857,-3059.4624633541234,-2227.176371950863
2017-01-05 06:30:00,-446.28645891310504,-1197.1683235174216,-272.53651738423866,-3226.7768519848414,-2306.0095323517394
2017-01-05 07:00:00,-677.4799699218639,-1335.1696736622962,-355.98706333369904,-3635.2751228661828,-2472.731910921497
2017-01-05 07:30:00,-643.9875788532486,-1573.827969844916,-352.77467093079247,-3770.304429360881,-2820.6239736646216
2017-01-05 08:00:00,-945.4548014072491,-1658.180339567867,-451.7623458846913,-4087.941931444785,-2847.368471593833
2017-01-05 08:30:00,-1166.8265067324019,-1955.4461997129647,-530.8814837111399,-4461.886091811222,-3192.145505930587
2017-01-05 09:00:00,-1375.2874277500619,-2016.058634977023,-596.6283324303878,-4622.416057113448,-3191.355781820003
